Date,Close
2025-08-05 00:00:00-04:00,2432.75
2025-08-06 00:00:00-04:00,2483.25
2025-08-07 00:00:00-04:00,2500.0
2025-08-08 00:00:00-04:00,2501.75
2025-08-11 00:00:00-04:00,2469.5
2025-08-12 00:00:00-04:00,2507.75
2025-08-13 00:00:00-04:00,2510.5
2025-08-14 00:00:00-04:00,2501.5
2025-08-15 00:00:00-04:00,2480.75
2025-08-18 00:00:00-04:00,2458.5
2025-08-19 00:00:00-04:00,2428.0
2025-08-20 00:00:00-04:00,2459.75
2025-08-21 00:00:00-04:00,2484.5
2025-08-22 00:00:00-04:00,2505.25
2025-08-25 00:00:00-04:00,2527.0
2025-08-26 00:00:00-04:00,2541.25
2025-08-27 00:00:00-04:00,2506.0
2025-08-28 00:00:00-04:00,2516.25
2025-08-29 00:00:00-04:00,2514.75
2025-09-02 00:00:00-04:00,2514.5
2025-09-03 00:00:00-04:00,2505.5
2025-09-04 00:00:00-04:00,2488.75
2025-09-05 00:00:00-04:00,2495.25
2025-09-08 00:00:00-04:00,2511.0
2025-09-09 00:00:00-04:00,2516.0
2025-09-10 00:00:00-04:00,2518.25
2025-09-11 00:00:00-04:00,2587.75
2025-09-12 00:00:00-04:00,2583.75
2025-09-15 00:00:00-04:00,2591.0
2025-09-16 00:00:00-04:00,2614.75
2025-09-17 00:00:00-04:00,2583.75
2025-09-18 00:00:00-04:00,2579.0
2025-09-19 00:00:00-04:00,2559.75
2025-09-22 00:00:00-04:00,2530.25
2025-09-23 00:00:00-04:00,2522.0
2025-09-24 00:00:00-04:00,2533.5
2025-09-25 00:00:00-04:00,2551.0
2025-09-26 00:00:00-04:00,2544.75
2025-09-29 00:00:00-04:00,2583.5
2025-09-30 00:00:00-04:00,2594.0
2025-10-01 00:00:00-04:00,2597.5
2025-10-02 00:00:00-04:00,2596.5
2025-10-03 00:00:00-04:00,2612.75
2025-10-06 00:00:00-04:00,2636.25
2025-10-07 00:00:00-04:00,2662.0
2025-10-08 00:00:00-04:00,2681.25
2025-10-09 00:00:00-04:00,2727.75
2025-10-10 00:00:00-04:00,2603.5
2025-10-13 00:00:00-04:00,2653.5
2025-10-14 00:00:00-04:00,2636.0
2025-10-15 00:00:00-04:00,2643.0
2025-10-16 00:00:00-04:00,2686.25
2025-10-17 00:00:00-04:00,2683.0
2025-10-20 00:00:00-04:00,2689.25
2025-10-21 00:00:00-04:00,2681.25
2025-10-22 00:00:00-04:00,2708.0
2025-10-23 00:00:00-04:00,2768.75
2025-10-24 00:00:00-04:00,2776.75
2025-10-27 00:00:00-04:00,2800.25
2025-10-28 00:00:00-04:00,2821.5
2025-10-29 00:00:00-04:00,2829.25
2025-10-30 00:00:00-04:00,2815.25
2025-10-31 00:00:00-04:00,2824.75
2025-11-03 00:00:00-05:00,2852.25
2025-11-04 00:00:00-05:00,2778.25
2025-11-05 00:00:00-05:00,2762.75
2025-11-06 00:00:00-05:00,2771.5
2025-11-07 00:00:00-05:00,2775.0
2025-11-10 00:00:00-05:00,2803.0
2025-11-11 00:00:00-05:00,2786.0
2025-11-12 00:00:00-05:00,2815.75
2025-11-13 00:00:00-05:00,2830.0
2025-11-14 00:00:00-05:00,2786.5
2025-11-17 00:00:00-05:00,2732.25
2025-11-18 00:00:00-05:00,2684.0
2025-11-19 00:00:00-05:00,2713.5
2025-11-20 00:00:00-05:00,2728.75
2025-11-21 00:00:00-05:00,2695.25
2025-11-24 00:00:00-05:00,2740.5
2025-11-25 00:00:00-05:00,2725.0
2025-11-26 00:00:00-05:00,2790.25
2025-11-28 00:00:00-05:00,2808.0
2025-12-01 00:00:00-05:00,2843.25
2025-12-02 00:00:00-05:00,2849.75
2025-12-03 00:00:00-05:00,2867.5
2025-12-04 00:00:00-05:00,2877.75
2025-12-05 00:00:00-05:00,2861.0
2025-12-08 00:00:00-05:00,2837.25
2025-12-09 00:00:00-05:00,2796.25
2025-12-10 00:00:00-05:00,2804.5
2025-12-11 00:00:00-05:00,2825.0
2025-12-12 00:00:00-05:00,2788.0
2025-12-15 00:00:00-05:00,2763.5
2025-12-16 00:00:00-05:00,2775.75
2025-12-17 00:00:00-05:00,2816.0
2025-12-18 00:00:00-05:00,2823.75
2025-12-19 00:00:00-05:00,2868.0
2025-12-22 00:00:00-05:00,2850.25
2025-12-23 00:00:00-05:00,2857.5
2025-12-24 00:00:00-05:00,2865.75
2025-12-26 00:00:00-05:00,2924.75
2025-12-29 00:00:00-05:00,2835.5
2025-12-30 00:00:00-05:00,2899.25
2025-12-31 00:00:00-05:00,2906.25
2026-01-02 00:00:00-05:00,2938.0
2026-01-05 00:00:00-05:00,3010.0
2026-01-06 00:00:00-05:00,3053.75
2026-01-07 00:00:00-05:00,2993.75
2026-01-08 00:00:00-05:00,3001.25
2026-01-09 00:00:00-05:00,3037.0
2026-01-12 00:00:00-05:00,3086.25
2026-01-13 00:00:00-05:00,3102.75
2026-01-14 00:00:00-05:00,3086.75
2026-01-15 00:00:00-05:00,3069.5
2026-01-16 00:00:00-05:00,3034.75
2026-01-20 00:00:00-05:00,3015.75
2026-01-21 00:00:00-05:00,3032.25
2026-01-22 00:00:00-05:00,3060.75
2026-01-23 00:00:00-05:00,3097.5
2026-01-26 00:00:00-05:00,3137.0
2026-01-27 00:00:00-05:00,3111.5
